case_id,persona,p,risky_reward,certain_reward,model,template,option_arm,answer_choice,answer_meaning,reason
p_0.26_ce_805_patient_5_forward,patient,0.26,1000,805,gpt-4.1-mini,forward,,Option B,certain,I prefer the certainty of 805 recurrence-free days rather than risking a lower chance for a longer duration.
p_0.76_ce_805_family_5_reversed,family,0.76,1000,805,gpt-4.1-mini,reversed,,Option A,certain,"I prefer the certainty of a guaranteed 805 recurrence-free days over a probabilistic chance of longer duration, valuing reliability in treatment outcomes."
p_0.51_ce_205_patient_4_forward,patient,0.51,1000,205,gpt-4.1-mini,forward,,Option A,risky,I am willing to take the risk for a chance at a significantly longer recurrence-free period rather than settle for a shorter guaranteed time.
p_0.51_ce_5_family_4_forward,family,0.51,1000,5,gpt-4.1-mini,forward,,Option A,risky,"I would prefer the chance of a significantly longer recurrence-free period despite the risk, rather than a guaranteed very short duration."
p_0.51_ce_5_patient_3_reversed,patient,0.51,1000,5,gpt-4.1-mini,reversed,,Option B,risky,"I prefer to take a chance on a significantly longer recurrence-free period, even with some risk, rather than a guaranteed but very short benefit."
p_0.76_ce_405_patient_4_reversed,patient,0.76,1000,405,gpt-4.1-mini,reversed,,Option A,certain,I prefer the certainty of 405 recurrence-free days rather than risking a lower chance for a longer but uncertain outcome.
p_0.01_ce_205_family_2_forward,family,0.01,1000,205,gpt-4.1-mini,forward,,Option B,certain,"I prefer the certainty of 205 recurrence-free days over a very low chance of a much longer period, valuing guaranteed quality time."
p_0.76_ce_5_patient_2_forward,patient,0.76,1000,5,gpt-4.1-mini,forward,,Option A,risky,"I prefer to take the chance for a significantly longer recurrence-free period despite the risk, valuing quality time over certainty."
p_0.76_ce_805_patient_4_forward,patient,0.76,1000,805,gpt-4.1-mini,forward,,Option B,certain,I prefer the certainty of a guaranteed 805 recurrence-free days over the risk of a higher but uncertain outcome.
p_0.51_ce_405_patient_3_forward,patient,0.51,1000,405,gpt-4.1-mini,forward,,Option B,certain,I prefer the certainty of a guaranteed 405 recurrence-free days over the risk of potentially receiving nothing.
p_0.76_ce_5_patient_1_forward,patient,0.76,1000,5,gpt-4.1-mini,forward,,Option A,risky,"I prefer to take the chance for a significantly longer recurrence-free period despite the risk, rather than settling for a guaranteed but very short duration."
p_0.01_ce_805_doctor_3_reversed,doctor,0.01,1000,805,gpt-4.1-mini,reversed,,Option A,certain,I prefer the certainty of a guaranteed 805 recurrence-free days rather than risking the low 1% chance for a longer period.
p_0.51_ce_5_family_5_reversed,family,0.51,1000,5,gpt-4.1-mini,reversed,,Option B,risky,"I prefer taking the chance for a significantly longer recurrence-free period, even with uncertainty, rather than a guaranteed but very short benefit."
p_0.01_ce_5_doctor_5_forward,doctor,0.01,1000,5,gpt-4.1-mini,forward,,Option A,risky,I prefer to take the small chance for a significant benefit rather than a guaranteed minimal improvement.
p_0.76_ce_805_doctor_2_reversed,doctor,0.76,1000,805,gpt-4.1-mini,reversed,,Option A,certain,"I prefer the certainty of guaranteed recurrence-free days over a probabilistic outcome, minimizing risk in this critical situation."
p_0.51_ce_205_patient_2_forward,patient,0.51,1000,205,gpt-4.1-mini,forward,,Option A,risky,"I prefer to take the chance for a significantly longer recurrence-free period, accepting the risk for potential greater benefit."
p_0.51_ce_605_doctor_4_reversed,doctor,0.51,1000,605,gpt-4.1-mini,reversed,,Option A,certain,"I prefer the certainty of a guaranteed 605 recurrence-free days over the risk of a 49% chance of no benefit, valuing stability and predictability in my treatment outcome."
p_0.26_ce_205_doctor_4_forward,doctor,0.26,1000,205,gpt-4.1-mini,forward,,Option B,certain,I prefer the certainty of 205 recurrence-free days over the riskier option with a lower probability of a much longer outcome.
p_0.51_ce_5_doctor_5_forward,doctor,0.51,1000,5,gpt-4.1-mini,forward,,Option A,risky,"I would take the chance for a significantly longer recurrence-free period, valuing quality and potential longevity over certainty of a very short duration."
p_0.76_ce_405_family_3_forward,family,0.76,1000,405,gpt-4.1-mini,forward,,Option B,certain,I prefer the certainty of 405 recurrence-free days rather than risking a lower outcome despite the higher potential with Option A.
p_0.76_ce_805_doctor_5_reversed,doctor,0.76,1000,805,gpt-4.1-mini,reversed,,Option A,certain,I prefer the certainty of guaranteed recurrence-free days rather than risking a lower probability for more days.
